# Time-averaged data for fix DensAve
# TimeStep v_Dens
100 7.55827
200 7.16616
300 6.8144
400 6.53368
500 6.38677
600 6.32946
700 6.31327
800 6.32677
900 6.31313
1000 6.31699
1100 6.31234
1200 6.31358
1300 6.3152
1400 6.32545
1500 6.31268
1600 6.31107
1700 6.3092
1800 6.31132
1900 6.31633
2000 6.30723
2100 6.30926
2200 6.31137
2300 6.31145
2400 6.30998
2500 6.30772
2600 6.31226
2700 6.31242
2800 6.3176
2900 6.31555
3000 6.31309
3100 6.30707
3200 6.32274
3300 6.31871
3400 6.31132
3500 6.32232
3600 6.31664
3700 6.31191
3800 6.31677
3900 6.32588
4000 6.31391
4100 6.32624
4200 6.31602
4300 6.30934
4400 6.31298
4500 6.3186
4600 6.31991
4700 6.30571
4800 6.31802
4900 6.3061
5000 6.31378
5100 6.31925
5200 6.32206
5300 6.31941
5400 6.31553
5500 6.30617
5600 6.31257
5700 6.30357
5800 6.31154
5900 6.30652
6000 6.31354
6100 6.31864
6200 6.32506
6300 6.30996
6400 6.30981
6500 6.31228
6600 6.3231
6700 6.3096
6800 6.32067
6900 6.30866
7000 6.31921
7100 6.31499
7200 6.3135
7300 6.31599
7400 6.31662
7500 6.30677
7600 6.31473
7700 6.31684
7800 6.32061
7900 6.30979
8000 6.31608
8100 6.31595
8200 6.31076
8300 6.30967
8400 6.32148
8500 6.31027
8600 6.31213
8700 6.31243
8800 6.32443
8900 6.31201
9000 6.30611
9100 6.30648
9200 6.32911
9300 6.31884
9400 6.31482
9500 6.3111
9600 6.31083
9700 6.30532
9800 6.31189
9900 6.30849
10000 6.31981
10100 6.31721
10200 6.32391
10300 6.31976
10400 6.30857
10500 6.31405
10600 6.31147
10700 6.31735
10800 6.30707
10900 6.3168
11000 6.31514
11100 6.31335
11200 6.31696
11300 6.30263
11400 6.32103
11500 6.31648
11600 6.31547
11700 6.31858
11800 6.31702
11900 6.31394
12000 6.3094
12100 6.31291
12200 6.31039
12300 6.3155
12400 6.31255
12500 6.31905
12600 6.31574
12700 6.31774
12800 6.31271
12900 6.30482
13000 6.3145
13100 6.31096
13200 6.31247
13300 6.30686
13400 6.3097
13500 6.31504
13600 6.31905
13700 6.31483
13800 6.31408
13900 6.30744
14000 6.30851
14100 6.317
14200 6.30189
14300 6.30411
14400 6.32101
14500 6.3267
14600 6.31456
14700 6.31953
14800 6.31173
14900 6.31821
15000 6.31327
15100 6.31978
15200 6.31369
15300 6.31413
15400 6.309
15500 6.31303
15600 6.30495
15700 6.31215
15800 6.30894
15900 6.3085
16000 6.31828
16100 6.32235
16200 6.30956
16300 6.32577
16400 6.31211
16500 6.31522
16600 6.32686
16700 6.31341
16800 6.31153
16900 6.31236
17000 6.31017
17100 6.32347
17200 6.31265
17300 6.31565
17400 6.31286
17500 6.31409
17600 6.31427
17700 6.30777
17800 6.31483
17900 6.31279
18000 6.307
18100 6.30949
18200 6.30919
18300 6.31151
18400 6.31542
18500 6.31838
18600 6.31394
18700 6.3136
18800 6.31183
18900 6.31284
19000 6.31393
19100 6.30826
19200 6.30856
19300 6.31444
19400 6.31693
19500 6.31143
19600 6.31148
19700 6.31429
19800 6.31152
19900 6.30791
20000 6.31105
20100 6.32162
20200 6.30709
20300 6.30919
20400 6.30649
20500 6.30461
20600 6.30966
20700 6.32001
20800 6.30515
20900 6.30973
21000 6.30836
21100 6.32719
21200 6.32137
21300 6.31137
21400 6.30659
21500 6.31792
21600 6.3162
21700 6.30909
21800 6.31254
21900 6.30995
22000 6.3227
22100 6.31272
